Year,Month,Day,Season,Inflation_Rate,Exchange_Rate,GDP_Growth,Crop_Yield,Fertilizer_Price,Water_Availability,Temperature,Rainfall,Humidity,Transport_Cost,Demand_Index,Previous_Price,Food_Price,Previous_Lag,Rainfall_3m_avg,GDP_Growth_diff,Demand_Trend,Temperature_3m_avg,TransportCost_3m_avg,Rainfall_Demand,Temp_Crop,Rainfall_Temp,Yield_Demand
2016,3,25,Autumn,4.388606493387516,0.8234330906741021,2.7654385932922363,2.216853218689865,44.92098392111888,81.9693210727049,32.283861681167885,29.54839250382097,79.19384100805132,146.32360530234538,0.8829164073297741,1.8356057787755848,1.910805480348633,1.8356057787755848,29.54839250382097,-4.120515351935422,0.5613072671440126,32.283861681167885,146.32360530234538,26.088760551843638,71.56858267963541,953.9362164942142,1.9572960794231014
2013,1,24,Winter,9.025856795798129,0.490125009480071,-1.355076758643186,8.26801202070327,82.63388914060579,56.451820444471245,30.472384367687333,79.53697843372186,83.786401722027,244.78299805805196,1.4442236744737866,5.651205352215616,5.261725555088109,1.8356057787755848,54.54268546877141,-4.120515351935422,0.5613072671440126,31.37812302442761,195.55330168019867,114.8691872500921,251.9460402515293,2423.6813782768304,11.940858701133516
2022,5,12,Winter,6.720486433693008,0.9974641185126554,5.516548712201326,2.084105796333228,55.41238786083465,71.51582140211954,6.656581484650623,148.51678369637546,77.44391753933257,138.95192159342105,1.0895053841754254,2.921030931934381,3.008539601610648,5.651205352215616,85.86738487797277,6.871625470844512,-0.3547182902983612,23.137609177835277,176.68617498460614,161.8098354776181,13.873020055924806,988.6140725131544,2.2706444862962645
2020,4,18,Autumn,6.126677259564164,0.6031533564519419,4.041068939561567,8.095119155019873,58.82133938740972,63.735251640357184,26.890452398447813,253.9603479370216,28.95649586438354,296.81761358710605,0.8445018551424617,5.82786591308522,5.343115797919324,2.921030931934381,160.67137002237297,-1.4754797726397584,-0.24500352903296374,21.33980608359526,226.8508444128597,214.46998496543978,217.68141629782497,6829.108647293723,6.83634314401356
2017,10,15,Winter,3.934888232081216,0.3890459373723581,2.6929913462693014,9.146435950304982,82.23275253988294,94.3875762335844,4.668457289124914,151.54971345681977,89.85405940886014,102.224056723056,1.1256671806315932,8.518261187610033,7.975351269321737,5.82786591308522,184.6756150300723,-1.348077593292266,0.28116532548913153,12.738497057407784,179.33119730119438,170.59453867246413,42.699745581715455,707.5033644522824,10.295842769007256
2022,8,12,Autumn,10.317537194328164,0.2981001933142778,4.627509367511927,5.462719368457378,50.58906648493023,52.02928560673475,-3.1851427526819154,224.4104218024766,38.100895508694165,60.39808375436611,1.410411089578116,6.542132968912469,6.510464877997168,8.518261187610033,209.97349439877266,1.934518021242626,0.2847439089465227,9.457922311630272,153.14658468817606,316.5109475271156,-17.39954100637715,-714.77922863045,7.704679976525448
2014,1,16,Spring,4.9701504123719165,0.4154684808575456,-1.3585059455030937,6.284339784782386,55.450187625833166,95.68637470032296,4.051144416566977,41.68797157467486,70.6943438965859,73.00923714801374,0.77399060047259,6.70409577590502,6.909998874188137,6.542132968912469,139.21603561132375,-5.986015313015021,-0.6364204891055258,1.8448196510033252,78.54379254181195,32.26609815156686,25.45876803093088,168.88399328274693,4.864019923597506
2016,10,27,Summer,1.870927667957715,0.4352799463835958,1.814711021864995,5.81586714094123,50.09523750156977,91.64970692765002,3.038299453943477,75.72414389296806,83.56244134350051,479.4162986818895,1.0051167184706744,5.869272601565303,5.453574475457724,6.70409577590502,113.94084575670651,3.173216967368089,0.23112611799808436,1.301433705942846,204.27453986142314,76.11160301870122,17.67034595852955,230.07262504034213,5.845625295764273
2019,1,8,Spring,7.170665161178013,0.1618423099515649,3.0407450148933077,5.113668948987511,49.3872412221824,64.87853582204077,10.198659853068126,219.5328285113017,36.498098003149664,114.02879837492112,1.4586906539117552,9.345390693682685,8.757048502754486,5.869272601565303,112.31498132631486,1.2260339930283126,0.4535739354410808,5.76270124119286,222.15144473494146,320.2304851762479,52.15257021192001,2238.9406445687023,7.459261103086831
2012,12,28,Autumn,2.138383934766014,0.4326167794840958,4.629223248946314,9.099396282962882,62.07572615211675,89.46453273385524,13.830227372895614,49.420202666317216,83.57809882739463,368.8152139115758,0.6723961432984527,9.38712415978543,8.832244430139376,9.345390693682685,114.89239169019567,1.5884782340530061,-0.7862945106133026,9.022395559969071,320.75343698946216,33.229953673859605,125.84671954945786,683.4926396897491,6.118398967008518
